id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Jura,Deustchland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egils Levits,NA,Politik,Lettland
ab,Annalena Baerbock ,Bündnis90/Die Grünen,Politik,Deutschland
ft,Frans Timmermans,NA,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Bundeswehr,Deutschland
rh,Robert Habeck,Bündnis90/Die Grünen,Politik,Deutschland
cm,Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Autor,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deustchland
CDU,CDU,NA,NA,NA
SPD,SPD,NA,NA,NA
FDP,FDP,NA,NA,NA
dl,Die Linke,NA,NA,NA
dg,Bündnis90/Die Grünen,NA,NA,NA
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
